0,1,2,3,4,5,9,10,11,15,16,17,21,22,23,27,28,29,accession_number,company_name,report_period,filed_date,cik
,,,Calculated Amount,Calculated Amount,Calculated Amount,Amount Paid,Amount Paid,Amount Paid,Shortfall,Shortfall,Shortfall,Carryover Shortfall,Carryover Shortfall,Carryover Shortfall,Remaining Available Funds,Remaining Available Funds,Remaining Available Funds,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,23891643.91,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Servicing Fee,Servicing Fee,Servicing Fee,$,479334.98,,$,479334.98,,$,0.00,,$,0.00,,$,23412308.93,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Interest - Class A-1 Notes,Interest - Class A-1 Notes,Interest - Class A-1 Notes,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,23412308.93,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Interest - Class A-2 Notes,Interest - Class A-2 Notes,Interest - Class A-2 Notes,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,23412308.93,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Interest - Class A-3 Notes,Interest - Class A-3 Notes,Interest - Class A-3 Notes,$,76091.35,,$,76091.35,,$,0.00,,$,0.00,,$,23336217.58,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Interest - Class A-4 Notes,Interest - Class A-4 Notes,Interest - Class A-4 Notes,$,55125.00,,$,55125.00,,$,0.00,,$,0.00,,$,23281092.58,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,23281092.58,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Interest - Class B Notes,Interest - Class B Notes,Interest - Class B Notes,$,23024.17,,$,23024.17,,$,0.00,,$,0.00,,$,23258068.41,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,23258068.41,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Interest - Class C Notes,Interest - Class C Notes,Interest - Class C Notes,$,18204.67,,$,18204.67,,$,0.00,,$,0.00,,$,23239863.74,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Reserve Account Deposit,Reserve Account Deposit,Reserve Account Deposit,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,23239863.74,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,$,20698435.27,,$,20698435.27,,$,0.00,,$,0.00,,$,2541428.47,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,Additional Trustee and Other Fees/Expenses,$,0.00,,$,0.00,,$,0.00,,$,0.00,,$,2541428.47,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Residual Released to Depositor,Residual Released to Depositor,Residual Released to Depositor,$,0.00,,$,2541428.47,,$,0.00,,$,0.00,,$,0.00,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Total,Total,Total,,,,$,23891643.91,,,,,,,,,,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Principal Payment:,Principal Payment:,Principal Payment:,,,,,,,,,,,,,,,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
First Priority Principal Payment,First Priority Principal Payment,First Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Second Priority Principal Payment,Second Priority Principal Payment,Second Priority Principal Payment,,,,,,,,,,,,,$,0.00,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Regular Principal Payment,Regular Principal Payment,Regular Principal Payment,,,,,,,,,,,,,$,20698435.27,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
Total,Total,Total,,,,,,,,,,,,,$,20698435.27,,0001843634-23-000014,Ford Credit Auto Owner Trust 2021-A,20230228,20230321,0001843634
