0,1,2,3,4,6,7,8,accession_number,company_name,report_period,filed_date,cik
Pool Balance,Pool Balance,,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
1.,Pool Balance on the close of the last day of the preceding Collection Period,,,,$,1251294142.21,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
2.,Collections allocable to Principal,,,,$,34251075.66,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
3.,Purchase Amount allocable to Principal,,,,$,0.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
4.,Defaulted Receivables,,,,$,1351374.48,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
5.,Pool Balance on the close of the last day of the related Collection Period,,,,$,1215691692.07,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,(Ln1 - Ln2 - Ln3 - Ln4),,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
6.,Total number of Receivables outstanding on the close of the last day of the related Collection Period,,,,76765,76765,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
7.,Initial Pool Balance,,,,$,1503750003.50,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,,Beginning of Period,Beginning of Period,Beginning of Period,End of Period,End of Period,End of Period,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
8.,Note Balances,,,,,,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,a. Class A-1 Note Balance,$,43534767.20,,$,7932317.06,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,b. Class A-2a Note Balance,$,468700000.00,,$,468700000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,c. Class A-2b Floating Rate Note Balance,$,70000000.00,,$,70000000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
,d. Class A-3 Note Balance,$,473500000.00,,$,473500000.00,,0001788503-20-000026,CarMax Auto Owner Trust 2019-4,20200430,20200515,0001788503
